Account;Vendor Name;Document type;Reference;Document Date;Document currency;Amount in doc. curr.;Clearing Document;Document Number;Text;Document Header Text;Net due date;Payment block;Payment Method
200412;ALA NORTH AMERICA;KC;201002693;10/03/2018;USD;-123,00;;601006454;;FACTURE 03/10/2018;31/12/2018;;
200412;ALA NORTH AMERICA;KC;201002502;09/10/2018;USD;-79,80;;601006455;;;31/12/2018;;
200412;ALA NORTH AMERICA;KC;201003121;15/11/2018;USD;-14,50;;601006456;;;31/01/2019;;
200412;ALA NORTH AMERICA;KC;201002726;12/10/2018;USD;-34,24;;601006457;;;31/12/2018;;
200412;ALA NORTH AMERICA;KC;201001572;01/06/2018;USD;-14,04;;601006792;;;31/07/2018;;
200412;ALA NORTH AMERICA;KC;201003345;14/12/2018;USD;-2 560,75;;601006793;;;28/02/2019;;
200412;ALA NORTH AMERICA;KC;201001162;23/04/2018;USD;-69,20;;601006794;;;30/06/2018;;
200412;ALA NORTH AMERICA;KC;201002173;31/07/2018;USD;-701,15;;601006800;;;30/09/2018;;
200412;ALA NORTH AMERICA;KC;201000695;27/03/2019;USD;-92,55;;601011506;;;26/05/2019;;
200412;ALA NORTH AMERICA;KC;201000943;24/04/2019;USD;-346,50;;601011886;;;30/06/2019;;
200412;ALA NORTH AMERICA;KC;201001028;07/05/2019;USD;-714,49;;601012276;;;31/07/2019;;
200413;ATELIERS de la HAUTE-Garonne s.a;KA;635106;22/03/2019;EUR;-2 035,21;;601011208;;;31/05/2019;;
200413;ATELIERS de la HAUTE-Garonne s.a;KA;636495;12/04/2019;EUR;-2 665,63;;601011652;;;31/05/2019;;
200413;ATELIERS de la HAUTE-Garonne s.a;KA;636923;19/04/2019;EUR;-14 524,12;;601011739;;;30/06/2019;;
200413;ATELIERS de la HAUTE-Garonne s.a;KA;637428;26/04/2019;EUR;-2 798,18;;601011740;;;30/06/2019;;
200413;ATELIERS de la HAUTE-Garonne s.a;KA;637766;30/04/2019;EUR;-7 829,56;;601011940;;;14/06/2019;;
200413;ATELIERS de la HAUTE-Garonne s.a;KA;638466;17/05/2019;EUR;-6 581,20;;601012100;;;15/07/2019;;
200413;ATELIERS de la HAUTE-Garonne s.a;KA;638910;24/05/2019;EUR;-1 102,86;;601012230;;;15/07/2019;;
200413;ATELIERS de la HAUTE-Garonne s.a;KA;639351;29/05/2019;EUR;-1 575,02;;601012408;;;31/07/2019;;
200413;ATELIERS de la HAUTE-Garonne s.a;KA;637960;03/05/2019;EUR;-7 382,62;;601012441;;;15/07/2019;;
200413;ATELIERS de la HAUTE-Garonne s.a;KA;638166;10/05/2019;EUR;-3 788,16;;601012442;;;30/06/2019;;
200417;PAOLO ASTORI S.p.A.;KE;2961/19;30/03/2019;EUR;-6 000,00;;602010181;;;29/05/2019;;
200417;PAOLO ASTORI S.p.A.;KE;3521;15/04/2019;EUR;-2 886,94;;602010198;;;14/06/2019;;
200417;PAOLO ASTORI S.p.A.;KE;3926/19-A;29/04/2019;EUR;-5 187,50;;602010226;;;28/06/2019;;
200431;NMB ITALIA SRL;KE;1696;23/04/2019;EUR;-841,25;;602010225;;;30/06/2019;;
200437;WESCO AIRCRAFT EMEA LTD;KE;16872449;17/04/2019;USD;-378,00;;602010216;;;17/05/2019;;
